player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,direct_K,rate_K,direct_BB,rate_BB,direct_H,rate_H,direct_HR,rate_HR,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,proj_tb,direct_TB,rate_TB,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date
pitcher,BAL,TB,Shane Baz,669358,,,,,5.44,16.0,2.87,5.71,6.24,1.3,6.241,,1.303,,5.714,,0.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-23
pitcher,TB,BAL,Nick Martinez,607259,,,,,5.44,16.0,3.0,6.1,3.48,1.3,3.477,,1.303,,6.103,,0.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-23
pitcher,PHI,STL,Cristopher Sánchez,650911,,,,,5.74,17.0,2.6,5.09,6.24,1.3,6.241,,1.303,,5.095,,0.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-23
pitcher,STL,PHI,Kyle Leahy,681517,,,,,5.08,15.0,2.69,5.09,5.27,1.62,5.267,,1.622,,5.095,,0.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-23
pitcher,NYY,TOR,Carlos Rodón,607074,,,,,5.08,15.0,3.11,4.73,7.38,3.43,7.385,,3.429,,4.728,,0.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-23
pitcher,TOR,NYY,José Soriano,667755,,,,,5.23,16.0,2.85,4.73,5.27,2.38,5.267,,2.375,,4.728,,0.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-23
pitcher,MIA,WSH,Janson Junk,676083,,,,,4.56,14.0,2.96,5.71,3.48,1.62,3.477,,1.622,,5.714,,0.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-23
pitcher,WSH,MIA,Jackson Kent,800600,,,,,4.56,14.0,2.52,3.93,5.27,2.38,5.267,,2.375,,3.926,,0.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-23
pitcher,HOU,ATH,Cristian Javier,664299,,,,,4.56,14.0,2.82,5.09,3.48,2.06,3.477,,2.063,,5.095,,0.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-23
pitcher,NYM,CWS,Nolan McLean,690997,,,,,5.44,16.0,2.79,4.73,6.24,2.38,6.241,,2.375,,4.728,,0.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-23
pitcher,TEX,LAA,Cal Quantrill,615698,,,,,5.08,15.0,2.66,5.09,3.48,1.3,3.477,,1.303,,5.095,,0.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-23
pitcher,LAA,TEX,Yusei Kikuchi,579328,,,,,4.67,14.0,2.7,4.73,5.27,2.06,5.267,,2.063,,4.728,,0.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-23
pitcher,COL,CLE,Tomoyuki Sugano,608372,,,,,5.08,15.0,3.09,6.1,3.48,1.62,3.477,,1.622,,6.103,,0.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-23
pitcher,CLE,COL,Foster Griffin,656492,,,,,5.23,16.0,2.73,5.09,5.27,1.54,5.267,,1.542,,5.095,,0.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-23
pitcher,BOS,SF,Jake Bennett,687562,,,,,5.44,16.0,2.87,5.71,4.61,1.3,4.609,,1.303,,5.714,,0.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-23
pitcher,SF,BOS,Matt Wilkinson,683363,,,,,4.19,13.0,2.3,3.93,3.48,1.62,3.477,,1.622,,3.926,,0.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-23
pitcher,LAD,PIT,Blake Snell,605483,,,,,5.08,15.0,2.2,3.93,5.95,1.3,5.95,,1.303,,3.926,,0.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-23
pitcher,SEA,CHC,Bryce Miller,682243,,,,,5.44,16.0,2.83,5.09,5.95,1.89,5.95,,1.891,,5.095,,0.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-23
