player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,direct_K,rate_K,direct_BB,rate_BB,direct_H,rate_H,direct_HR,rate_HR,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,proj_tb,direct_TB,rate_TB,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date
pitcher,BAL,CWS,Shane Baz,669358,,,,,6.46,19.0,2.55,4.89,5.59,1.55,5.59,,1.555,,4.889,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,CWS,BAL,Sean Burke,680732,,,,,4.69,14.0,2.56,4.52,4.91,2.02,4.912,,2.02,,4.524,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,PHI,PIT,Aaron Nola,605400,,,,,5.33,16.0,2.47,4.65,4.71,1.55,4.714,,1.555,,4.65,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,PIT,PHI,Braxton Ashcraft,677952,,,,,5.7,17.0,2.42,4.52,6.89,1.55,6.895,,1.555,,4.524,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,NYY,DET,Ryan Weathers,677960,,,,,5.7,17.0,2.39,4.65,5.59,1.55,5.59,,1.555,,4.65,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,DET,NYY,Casey Mize,663554,,,,,5.7,17.0,2.16,3.75,5.59,1.55,5.59,,1.555,,3.75,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,TOR,NYM,Trey Yesavage,702056,,,,,5.36,16.0,2.35,4.52,5.26,1.55,5.259,,1.555,,4.524,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,NYM,TOR,Sean Manaea,640455,,,,,4.69,14.0,2.35,4.52,4.57,1.55,4.565,,1.555,,4.524,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,BOS,WSH,Ranger Suarez,624133,,,,,5.7,17.0,2.35,4.52,5.59,1.55,5.59,,1.555,,4.524,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,WSH,BOS,Miles Mikolas,571945,,,,,4.42,13.0,2.47,4.65,3.43,1.55,3.435,,1.555,,4.65,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,CLE,TEX,Parker Messick,800048,,,,,5.7,17.0,2.57,4.94,5.59,1.55,5.59,,1.555,,4.939,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,MIL,CIN,Robert Gasser,688107,,,,,4.95,15.0,2.35,4.52,4.71,1.55,4.714,,1.555,,4.524,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,CIN,MIL,Nick Lodolo,666157,,,,,5.36,16.0,3.25,6.89,4.91,1.88,4.912,,1.875,,6.889,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,CHC,SD,Shota Imanaga,684007,,,,,5.33,16.0,2.55,4.89,4.91,1.55,4.912,,1.555,,4.889,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,SD,CHC,Griffin Canning,656288,,,,,4.69,14.0,2.52,4.52,5.59,1.88,5.59,,1.875,,4.524,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,HOU,MIN,Peter Lambert,663567,,,,,5.7,17.0,2.39,4.65,5.31,1.55,5.314,,1.555,,4.65,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,MIN,HOU,Zebby Matthews,805673,,,,,5.7,17.0,2.69,5.53,4.91,1.55,4.912,,1.555,,5.533,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,COL,MIA,Sean Sullivan,807743,,,,,4.42,13.0,2.49,4.94,3.8,1.55,3.8,,1.555,,4.939,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,MIA,COL,Sandy Alcantara,645261,,,,,5.7,17.0,2.88,6.89,5.59,1.55,5.59,,1.555,,6.889,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,ATH,LAD,Gage Jump,695611,,,,,5.7,17.0,2.47,4.65,4.91,1.55,4.912,,1.555,,4.65,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,LAD,ATH,Eric Lauer,641778,,,,,4.87,15.0,2.47,4.65,3.8,1.55,3.8,,1.555,,4.65,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,SEA,LAA,George Kirby,669923,,,,,5.7,17.0,2.69,5.53,5.59,1.55,5.59,,1.555,,5.533,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,LAA,SEA,Ryan Johnson,696270,,,,,4.42,13.0,2.47,4.65,1.8,1.55,1.8,,1.555,,4.65,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,AZ,SF,Eduardo Rodriguez,593958,,,,,5.7,17.0,2.57,4.94,4.71,1.55,4.714,,1.555,,4.939,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
pitcher,SF,AZ,Tyler Mahle,641816,,,,,5.33,16.0,2.27,4.8,5.0,1.88,5.0,,1.875,,4.8,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29
hitter,BAL,CWS,Gunnar Henderson,683002,1.0,SS,Confirmed,4.4,,,,,1.02,0.26,1.025,,0.264,,0.901,,0.173,,0.9,0.51,0.41,1.83,0.17,1.43,1.432,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-29
hitter,BAL,CWS,Taylor Ward,621493,2.0,LF,Confirmed,4.38,,,,,1.09,0.39,1.091,,0.387,,0.901,,0.13,,0.9,0.51,0.38,1.79,0.13,1.43,1.432,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-29
hitter,BAL,CWS,Adley Rutschman,668939,3.0,C,Confirmed,4.02,,,,,0.52,0.26,0.525,,0.264,,0.901,,0.143,,0.9,0.49,0.45,1.84,0.14,1.43,1.432,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-29
hitter,BAL,CWS,Pete Alonso,624413,4.0,1B,Confirmed,4.38,,,,,1.09,0.26,1.091,,0.264,,0.851,,0.312,,0.85,0.57,0.57,1.99,0.31,2.09,2.095,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-29
hitter,BAL,CWS,Samuel Basallo,694212,5.0,DH,Confirmed,3.9,,,,,0.93,0.2,0.935,,0.204,,0.818,,0.166,,0.82,0.46,0.43,1.71,0.17,1.43,1.432,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-29
