player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date
hitter,NYM,PHI,Brett Baty,683146,7.0,RF,Confirmed,3.26,,,,,0.85,0.16,0.94,0.37,0.33,1.65,0.04,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,NYM,PHI,MJ Melendez,669004,8.0,DH,Confirmed,2.93,,,,,0.78,0.2,0.83,0.34,0.29,1.46,0.03,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,NYM,PHI,Francisco Alvarez,682626,9.0,C,Confirmed,3.5,,,,,0.81,0.2,0.88,0.34,0.29,1.51,0.01,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,NYY,CWS,Ben Rice,700250,1.0,1B,Confirmed,3.84,,,,,1.12,0.22,0.52,0.28,0.21,1.01,0.06,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,NYY,CWS,Paul Goldschmidt,502671,2.0,DH,Confirmed,3.48,,,,,0.9,0.22,0.33,0.19,0.13,0.65,0.03,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,NYY,CWS,Cody Bellinger,641355,3.0,LF,Confirmed,3.84,,,,,0.9,0.3,0.45,0.27,0.21,0.92,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,NYY,CWS,Jasson Domínguez,691176,4.0,RF,Confirmed,3.98,,,,,0.85,0.21,0.55,0.28,0.24,1.07,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,NYY,CWS,Jazz Chisholm Jr.,665862,5.0,2B,Confirmed,3.53,,,,,1.05,0.24,0.28,0.2,0.17,0.65,0.08,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,NYY,CWS,Spencer Jones,682987,6.0,CF,Confirmed,2.79,,,,,0.84,0.22,0.2,0.13,0.12,0.45,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,NYY,CWS,José Caballero,676609,7.0,2B,Confirmed,2.91,,,,,0.58,0.19,0.42,0.2,0.17,0.8,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
