player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,direct_K,rate_K,direct_BB,rate_BB,direct_H,rate_H,direct_HR,rate_HR,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,proj_tb,direct_TB,rate_TB,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date
pitcher,SF,TOR,Logan Webb,657277,,,,,5.7,17.0,2.87,5.76,5.09,1.5,5.092,,1.5,,5.76,,0.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,TOR,SF,Dylan Cease,656302,,,,,5.33,16.0,2.72,4.8,7.78,2.09,7.782,,2.086,,4.8,,0.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,BAL,CHC,Dean Kremer,665152,,,,,4.78,14.0,2.64,4.8,5.09,1.8,5.092,,1.8,,4.8,,0.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,CHC,BAL,Colin Rea,607067,,,,,4.82,14.0,2.87,5.31,3.64,1.94,3.636,,1.942,,5.315,,0.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,DET,ATH,Troy Melton,675512,,,,,4.82,14.0,2.82,5.31,5.03,1.8,5.033,,1.8,,5.315,,0.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,ATH,DET,Jeffrey Springs,605488,,,,,4.78,14.0,3.07,5.31,3.64,1.8,3.636,,1.8,,5.315,,1.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,PIT,ATL,Jared Jones,683003,,,,,4.78,14.0,2.47,4.66,5.03,1.75,5.033,,1.75,,4.655,,0.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,ATL,PIT,Grant Holmes,656550,,,,,4.33,13.0,2.77,5.08,4.08,1.94,4.081,,1.942,,5.079,,0.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,MIA,SEA,Tyler Phillips,663969,,,,,4.38,13.0,2.8,5.25,3.38,1.8,3.381,,1.8,,5.254,,0.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,SEA,MIA,George Kirby,669923,,,,,5.33,16.0,2.73,5.31,5.09,1.5,5.092,,1.5,,5.315,,0.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,TB,NYY,Shane McClanahan,663556,,,,,4.6,14.0,2.62,4.8,5.09,1.75,5.092,,1.75,,4.8,,0.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,NYY,TB,Gerrit Cole,543037,,,,,4.78,14.0,2.54,4.8,4.43,1.5,4.429,,1.5,,4.8,,0.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,WSH,HOU,Foster Griffin,656492,,,,,5.33,16.0,3.03,5.25,5.18,1.75,5.178,,1.75,,5.254,,1.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,HOU,WSH,Spencer Arrighetti,681293,,,,,4.82,14.0,2.98,4.8,5.09,2.09,5.092,,2.086,,4.8,,1.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,NYM,KC,Christian Scott,681035,,,,,4.78,14.0,2.57,4.66,5.09,1.75,5.092,,1.75,,4.655,,0.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,CIN,PHI,Chase Burns,695505,,,,,5.33,16.0,2.62,4.8,5.79,1.75,5.793,,1.75,,4.8,,0.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,PHI,CIN,Alan Rangel,660604,,,,,4.6,14.0,2.63,4.66,4.08,1.94,4.081,,1.942,,4.655,,0.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,MIN,CLE,Connor Prielipp,687570,,,,,4.82,14.0,2.64,5.08,5.09,1.5,5.092,,1.5,,5.079,,0.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,CLE,MIN,Slade Cecconi,677944,,,,,4.82,14.0,2.81,5.31,4.08,1.77,4.081,,1.768,,5.315,,0.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,CWS,BOS,Davis Martin,663436,,,,,5.33,16.0,2.54,4.8,5.09,1.5,5.092,,1.5,,4.8,,0.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,BOS,CWS,Jake Bennett,687562,,,,,4.82,14.0,2.8,5.31,3.64,1.75,3.636,,1.75,,5.315,,0.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,STL,MIL,Michael McGreevy,700241,,,,,5.08,15.0,3.2,5.76,4.08,1.74,4.081,,1.742,,5.76,,1.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,MIL,STL,Kyle Harrison,690986,,,,,4.82,14.0,2.44,4.8,5.09,1.5,5.092,,1.5,,4.8,,0.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,TEX,LAA,MacKenzie Gore,669022,,,,,5.08,15.0,2.74,4.85,5.59,2.09,5.591,,2.086,,4.846,,0.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,LAA,TEX,Walbert Ureña,700712,,,,,4.82,14.0,2.72,4.8,5.09,2.09,5.092,,2.086,,4.8,,0.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,LAD,COL,Roki Sasaki,808963,,,,,4.82,14.0,2.72,4.8,5.09,2.09,5.092,,2.086,,4.8,,0.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,SD,AZ,Michael King,650633,,,,,4.82,14.0,2.99,5.31,4.43,2.09,4.429,,2.086,,5.315,,0.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
pitcher,AZ,SD,Jose Cabrera,703615,,,,,4.6,14.0,2.88,5.25,3.31,1.8,3.315,,1.8,,5.254,,0.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08
hitter,SF,TOR,Heliot Ramos,671218,1.0,LF,Confirmed,3.97,,,,,1.61,0.18,1.611,,0.177,,0.773,,0.047,,0.77,0.37,0.28,1.42,0.05,0.97,0.974,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-08
hitter,SF,TOR,Luis Arraez,650333,2.0,2B,Confirmed,3.94,,,,,0.7,0.18,0.703,,0.177,,0.893,,0.031,,0.89,0.41,0.31,1.61,0.03,1.26,1.257,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-08
hitter,SF,TOR,Casey Schmitt,669477,3.0,3B,Confirmed,4.01,,,,,1.26,0.11,1.259,,0.115,,0.741,,0.048,,0.74,0.34,0.31,1.4,0.05,1.01,1.012,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-08
hitter,SF,TOR,Rafael Devers,646240,4.0,1B,Confirmed,4.01,,,,,1.61,0.22,1.611,,0.218,,0.61,,0.062,,0.61,0.32,0.27,1.2,0.06,0.93,0.934,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-08
hitter,SF,TOR,Jung Hoo Lee,808982,5.0,RF,Confirmed,3.94,,,,,0.7,0.1,0.703,,0.098,,0.741,,0.028,,0.74,0.33,0.29,1.37,0.03,0.97,0.966,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-08
hitter,SF,TOR,Willy Adames,642715,6.0,SS,Confirmed,3.91,,,,,1.61,0.22,1.611,,0.218,,0.61,,0.053,,0.61,0.28,0.27,1.15,0.05,0.99,0.989,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-08
hitter,SF,TOR,Bryce Eldridge,805811,7.0,DH,Confirmed,3.97,,,,,1.61,0.22,1.611,,0.218,,0.61,,0.051,,0.61,0.28,0.23,1.12,0.05,0.84,0.843,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-08
hitter,SF,TOR,Drew Gilbert,687551,8.0,CF,Confirmed,2.82,,,,,0.94,0.1,0.939,,0.098,,0.271,,0.025,,0.27,0.12,0.11,0.5,0.02,0.54,0.535,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-08
hitter,SF,TOR,Eric Haase,606992,9.0,C,Confirmed,3.64,,,,,1.26,0.18,1.259,,0.177,,0.577,,0.044,,0.58,0.25,0.22,1.05,0.04,0.85,0.846,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-08
hitter,TOR,SF,Ernie Clement,676391,1.0,2B,Confirmed,3.83,,,,,0.27,0.22,0.27,,0.218,,1.28,,0.153,,1.28,0.64,0.52,2.44,0.15,2.21,2.212,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-08
hitter,TOR,SF,Nathan Lukes,664770,2.0,RF,Confirmed,4.01,,,,,0.4,0.22,0.399,,0.218,,1.302,,0.192,,1.3,0.67,0.56,2.53,0.19,2.58,2.576,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-08
hitter,TOR,SF,Vladimir Guerrero Jr.,665489,3.0,1B,Confirmed,4.36,,,,,0.4,0.33,0.399,,0.327,,1.75,,0.313,,1.75,0.94,0.9,3.59,0.31,2.69,2.686,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-08
hitter,TOR,SF,George Springer,543807,4.0,DH,Confirmed,4.92,,,,,0.7,0.41,0.703,,0.407,,2.25,,0.314,,2.25,1.16,1.08,4.49,0.31,2.45,2.454,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-08
hitter,TOR,SF,Daulton Varsho,662139,5.0,CF,Confirmed,3.91,,,,,0.6,0.23,0.596,,0.23,,1.302,,0.194,,1.3,0.68,0.64,2.61,0.19,2.37,2.369,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-08
hitter,TOR,SF,Kazuma Okamoto,672960,6.0,3B,Confirmed,4.31,,,,,0.94,0.33,0.939,,0.327,,1.302,,0.359,,1.3,0.69,0.77,2.76,0.36,2.68,2.682,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-08
