player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,direct_K,rate_K,direct_BB,rate_BB,direct_H,rate_H,direct_HR,rate_HR,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date,proj_hr_allowed,direct_TB,rate_TB,proj_tb
hitter,BAL,SEA,Pete Alonso,624413,3.0,1B,Confirmed,4.09,,,,,1.06,0.2,1.105800573059887,1.0228122095675785,0.23323594247737955,0.1702704647486291,0.9709774112490187,0.9994366136223879,0.4017893638019827,0.3803000872153861,0.99,0.54,0.62,1.68,0.39,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,2.372971323409287,2.241027989175606,2.3
hitter,BAL,SEA,Colton Cowser,681297,4.0,CF,Confirmed,3.49,,,,,1.04,0.16,0.980919070086779,1.0967013728015078,0.17104231906965206,0.144173400049539,0.7927781451305119,0.731574089448822,0.22657356910633777,0.2372486904485059,0.76,0.29,0.32,0.92,0.23,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,1.7788892162959922,1.4771821064545796,1.61
hitter,BAL,SEA,Leody Taveras,665750,5.0,RF,Confirmed,3.19,,,,,0.78,0.11,0.8012803586355195,0.7647485316675452,0.12460719660044046,0.0947074517893866,0.7391892079304553,0.6891858286677844,0.12796170134539162,0.10440879191965631,0.71,0.33,0.33,1.09,0.12,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,1.3571536180223878,1.0861269127171604,1.21
hitter,BAL,SEA,Jackson Holliday,702616,6.0,2B,Confirmed,3.1,,,,,0.94,0.15,0.9329517685448597,0.9423548885151121,0.16258118152091472,0.12792810556610731,0.6010604338532248,0.5181330430668657,0.2631852245313785,0.19669298208736122,0.56,0.24,0.28,0.83,0.23,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,1.5050482516203565,1.202071483157158,1.34
hitter,BAL,SEA,Coby Mayo,691723,7.0,3B,Confirmed,3.37,,,,,1.33,0.31,1.2949403913032058,1.372749849385249,0.3226456384770614,0.2982275134275432,0.6093380637353143,0.5424951997499128,0.12026858831787418,0.10349233290775872,0.57,0.36,0.42,1.17,0.11,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,0.9819998928459979,0.9437380048206085,0.96
hitter,BAL,SEA,Blaze Alexander,677942,8.0,SS,Confirmed,3.14,,,,,0.91,0.11,0.9353651551346704,0.876701646353917,0.1213594348761851,0.10695870307616519,0.6890719818439597,0.5765191335313757,0.16632577839493073,0.15885789772147904,0.63,0.23,0.25,0.82,0.16,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,1.2460463836283506,1.1103813026777523,1.17
hitter,BAL,SEA,Sam Huff,669087,9.0,C,Confirmed,3.24,,,,,1.02,0.32,0.907885077175122,1.1222458091919763,0.30244252121520565,0.3380029379943698,0.7381800846011477,0.6352073562416016,0.07098917059399061,0.062076005363663124,0.68,0.24,0.25,0.8,0.07,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,1.1448994254902054,0.9627033692787725,1.04
hitter,SEA,BAL,Cole Young,702284,1.0,SS,Confirmed,4.12,,,,,0.94,0.16,0.8782332914932202,0.9942788498522317,0.16626813641214744,0.1634062214034318,0.9658889237369473,0.990974193137859,0.03126853530301471,0.037443967511748125,0.98,0.51,0.33,1.82,0.03,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,1.240775715518514,1.2706609763908867,1.26
hitter,SEA,BAL,Julio Rodríguez,677594,2.0,CF,Confirmed,4.19,,,,,1.2,0.2,1.2280247861356912,1.172949609814794,0.2173159673064896,0.1848416731760751,1.1516858072792777,1.0627443875008196,0.06830963613647818,0.05363820377653205,1.1,0.53,0.37,1.9,0.06,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,1.447991513587442,1.4875579973972808,1.47
hitter,SEA,BAL,Josh Naylor,647304,3.0,1B,Confirmed,4.29,,,,,0.9,0.24,0.8883132760923346,0.9168105182343033,0.24425041080950155,0.22931171341752735,1.0819796747669972,1.0267449234512713,0.03724056354680551,0.028103746407903467,1.05,0.52,0.39,1.94,0.03,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,1.3547471212956563,1.3541319847675057,1.35
hitter,SEA,BAL,Randy Arozarena,668227,4.0,LF,Confirmed,4.08,,,,,1.28,0.18,1.2695927662418436,1.2828167310200298,0.1908176618840352,0.1610675106828555,0.9492782397598689,0.9310053769748756,0.036366770257408386,0.02831393209289876,0.94,0.53,0.39,1.93,0.03,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,1.3355808406718044,1.3432839777031857,1.34
hitter,SEA,BAL,Luke Raley,670042,5.0,RF,Confirmed,3.62,,,,,1.38,0.21,1.363889658061419,1.387337532324782,0.2028639121720408,0.22058147115578675,1.0264531402437624,0.8415171214341516,0.05441236479963008,0.04853856854632231,0.92,0.38,0.3,1.39,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,1.3565457118211373,1.2276786091335405,1.29
hitter,SEA,BAL,Dominic Canzone,686527,6.0,DH,Confirmed,3.31,,,,,1.1,0.16,1.1232452860704578,1.0839468895214137,0.17240340015097566,0.15449205051232248,0.6517721971294818,0.5571080054523029,0.04190171276312902,0.03961975012273218,0.6,0.33,0.28,1.31,0.04,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,0.9427044644452265,0.8352657273123675,0.88
hitter,SEA,BAL,Patrick Wisdom,621550,7.0,3B,Confirmed,3.83,,,,,1.46,0.22,1.432550271012588,1.4966853393863195,0.2305507085604946,0.2101022122841115,0.9300930537224902,0.822030114245263,0.060673332502397814,0.027267621572386373,0.87,0.33,0.25,1.28,0.04,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,1.248943414806118,1.2133779016875879,1.23
hitter,SEA,BAL,Jhonny Pereda,640902,8.0,C,Confirmed,3.71,,,,,0.97,0.17,1.0018841557286808,0.9366305441535328,0.17442227785700498,0.17013114539889643,0.8492753139463186,0.8115620829565643,0.04929500508524813,0.05231310545093862,0.83,0.38,0.29,1.54,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,1.0981658174588156,1.1758944071275734,1.14
hitter,SEA,BAL,Ryan Bliss,669208,9.0,2B,Confirmed,3.8,,,,,1.32,0.24,1.1899413259214633,1.449288359102245,0.2223539027892499,0.261543117620878,0.5424203435067305,0.4055154596314793,0.0207719921654024,0.0296962841636602,0.47,0.37,0.29,1.5,0.03,True,40.0,44.0,40.0,32.0,37.0,35.0,35.0,36.0,38.0,low,low,low,low,low,low,low,low,low,2026-06-08,,,0.6095451260768958,
