player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,direct_K,rate_K,direct_BB,rate_BB,direct_H,rate_H,direct_HR,rate_HR,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,proj_tb,direct_TB,rate_TB,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date
pitcher,PIT,PHI,Jared Jones,683003,,,,,5.7,17.0,2.05,3.55,5.59,1.68,5.59,,1.684,,3.546,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02
pitcher,MIL,CIN,Jacob Misiorowski,694819,,,,,5.7,17.0,2.16,3.74,12.0,1.55,12.0,,1.555,,3.742,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02
pitcher,CIN,MIL,Chase Burns,695505,,,,,5.7,17.0,2.08,3.52,7.98,1.55,7.977,,1.555,,3.525,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02
pitcher,COL,MIA,Michael Lorenzen,547179,,,,,4.69,14.0,2.77,5.53,4.64,1.55,4.643,,1.555,,5.533,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02
pitcher,MIA,COL,Ryan Gusto,687473,,,,,4.69,14.0,2.35,4.52,4.71,1.55,4.714,,1.555,,4.524,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02
pitcher,CLE,CWS,Slade Cecconi,677944,,,,,5.33,16.0,2.57,4.94,4.91,1.55,4.912,,1.555,,4.939,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02
pitcher,CWS,CLE,Davis Martin,663436,,,,,5.78,17.0,2.35,4.52,5.59,1.55,5.59,,1.555,,4.524,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02
pitcher,STL,ATL,Dustin May,669160,,,,,6.5,20.0,2.42,4.52,5.59,1.55,5.59,,1.555,,4.524,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02
pitcher,KC,TB,Stephen Kolek,663568,,,,,5.7,17.0,2.22,4.94,4.71,1.55,4.714,,1.555,,4.939,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02
pitcher,TEX,DET,Nathan Eovaldi,543135,,,,,5.7,17.0,2.49,4.94,4.91,1.55,4.912,,1.555,,4.939,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02
pitcher,DET,TEX,Framber Valdez,664285,,,,,5.7,17.0,2.57,4.94,4.91,1.55,4.912,,1.555,,4.939,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02
pitcher,SEA,LAA,Bryce Miller,682243,,,,,5.7,17.0,2.16,3.75,6.89,1.55,6.895,,1.555,,3.75,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02
pitcher,LAA,SEA,Walbert Ureña,700712,,,,,5.33,16.0,2.75,4.65,5.59,2.5,5.59,,2.5,,4.65,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02
pitcher,LAD,SD,Roki Sasaki,808963,,,,,5.7,17.0,2.42,4.52,5.59,1.55,5.59,,1.555,,4.524,,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02
pitcher,SD,LAD,Randy Vásquez,681190,,,,,5.36,16.0,2.68,5.5,4.91,1.55,4.912,,1.555,,5.5,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02
hitter,PHI,PIT,Trea Turner,607208,1.0,SS,Confirmed,4.4,,,,,0.91,0.26,0.905,,0.264,,0.851,,0.16,,0.85,0.48,0.39,1.72,0.16,1.43,1.432,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-02
hitter,PHI,PIT,Kyle Schwarber,656941,2.0,DH,Confirmed,4.52,,,,,1.39,0.6,1.388,,0.596,,1.021,,0.309,,1.02,0.7,0.55,2.27,0.31,2.09,2.095,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-02
hitter,PHI,PIT,Bryce Harper,547180,3.0,1B,Confirmed,4.52,,,,,1.02,0.39,1.025,,0.387,,1.021,,0.255,,1.02,0.63,0.58,2.23,0.26,2.25,2.247,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-02
hitter,PHI,PIT,Brandon Marsh,669016,4.0,LF,Confirmed,4.38,,,,,0.96,0.25,0.964,,0.245,,1.021,,0.165,,1.02,0.55,0.51,2.08,0.16,1.59,1.586,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-02
hitter,PHI,PIT,Alec Bohm,664761,5.0,3B,Confirmed,3.74,,,,,0.52,0.25,0.523,,0.245,,0.688,,0.144,,0.69,0.4,0.37,1.46,0.14,1.03,1.03,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-02
hitter,PHI,PIT,Bryson Stott,681082,6.0,2B,Confirmed,4.38,,,,,0.6,0.26,0.6,,0.264,,0.851,,0.122,,0.85,0.4,0.41,1.66,0.12,1.59,1.586,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-02
hitter,PHI,PIT,Gabriel Rincones Jr.,687282,7.0,RF,Confirmed,3.11,,,,,0.77,0.2,0.775,,0.204,,0.688,,0.108,,0.69,0.33,0.3,1.32,0.11,1.0,1.0,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-02
hitter,PHI,PIT,Justin Crawford,702222,8.0,CF,Confirmed,3.08,,,,,0.77,0.2,0.775,,0.204,,0.688,,0.079,,0.69,0.31,0.28,1.28,0.08,0.94,0.939,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-02
hitter,PHI,PIT,Rafael Marchán,665561,9.0,C,Confirmed,3.0,,,,,0.52,0.14,0.525,,0.14,,0.439,,0.062,,0.44,0.21,0.19,0.83,0.06,0.67,0.669,,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-07-02
