player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date
pitcher,CIN,NYM,Nick Lodolo,666157,,,,,5.09,15.0,2.45,4.61,4.27,1.75,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-17
pitcher,NYM,CIN,Nolan McLean,690997,,,,,5.54,17.0,2.2,4.24,7.33,1.61,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-17
pitcher,WSH,KC,Zack Littell,641793,,,,,5.11,15.0,2.69,4.68,3.8,1.89,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-17
pitcher,PHI,MIA,Andrew Painter,691725,,,,,5.07,15.0,2.59,4.76,4.55,1.93,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-17
pitcher,MIA,PHI,Sandy Alcantara,645261,,,,,5.48,16.0,2.58,5.03,4.55,1.82,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-17
pitcher,ATL,SF,Grant Holmes,656550,,,,,5.25,16.0,2.4,4.34,5.11,1.87,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-17
pitcher,SF,ATL,Adrian Houser,605288,,,,,5.25,16.0,2.7,4.76,4.52,2.14,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-17
pitcher,HOU,DET,Peter Lambert,663567,,,,,5.33,16.0,2.56,4.51,5.66,2.33,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-17
pitcher,DET,HOU,Casey Mize,663554,,,,,5.07,15.0,2.39,4.26,5.39,2.09,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-17
pitcher,STL,SD,Kyle Leahy,681517,,,,,5.22,16.0,2.52,4.74,5.25,1.79,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-17
