player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,direct_K,rate_K,direct_BB,rate_BB,direct_H,rate_H,direct_HR,rate_HR,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,proj_tb,direct_TB,rate_TB,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date
pitcher,WSH,MIA,Andrew Alvarez,674841,,,,,4.52,14.0,2.97,5.2,3.81,2.27,3.808,,2.268,,5.2,,0.853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-30
pitcher,MIA,WSH,Janson Junk,676083,,,,,4.56,14.0,2.82,5.2,3.47,1.77,3.471,,1.774,,5.2,,0.853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-30
pitcher,ATL,COL,Tyler Mahle,641816,,,,,5.02,15.0,2.75,4.76,5.66,2.27,5.657,,2.268,,4.755,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-30
pitcher,COL,ATL,Mason Adams,690279,,,,,4.13,12.0,2.46,4.6,3.47,1.46,3.471,,1.455,,4.596,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-30
pitcher,NYY,BOS,Will Warren,701542,,,,,5.01,15.0,2.61,4.76,3.81,1.77,3.808,,1.774,,4.755,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-30
pitcher,BOS,NYY,Ranger Suarez,624133,,,,,5.01,15.0,2.74,5.15,4.91,1.77,4.913,,1.774,,5.15,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-30
pitcher,TOR,SEA,Max Scherzer,453286,,,,,4.52,14.0,2.96,5.2,3.47,2.15,3.471,,2.15,,5.2,,0.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-30
pitcher,SEA,TOR,Logan Gilbert,669302,,,,,5.42,16.0,2.51,4.77,5.66,1.46,5.657,,1.455,,4.766,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-30
pitcher,CLE,KC,Parker Messick,800048,,,,,5.52,17.0,2.67,4.77,6.29,1.77,6.29,,1.774,,4.766,,0.853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-30
pitcher,KC,CLE,Seth Lugo,607625,,,,,5.28,16.0,3.26,6.7,3.47,1.46,3.471,,1.455,,6.7,,0.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-30
