player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,direct_K,rate_K,direct_BB,rate_BB,direct_H,rate_H,direct_HR,rate_HR,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,proj_tb,direct_TB,rate_TB,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date,proj_hr_allowed
pitcher,BAL,AZ,Kyle Bradish,680694,,,,,4.8,14.0,2.28,3.82,7.1,2.02,7.2240028939430685,6.971914359765812,1.8927267267353085,2.40234125381712,3.665224959462343,4.437645615973808,0.7171295468142286,0.969611677065396,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15,0.79
pitcher,AZ,BAL,Eduardo Rodriguez,593958,,,,,5.23,16.0,2.65,5.37,4.58,1.88,4.924539078400085,4.237949036754889,1.781235549737712,2.176638370360536,5.306648028607401,5.643810934084595,0.6171747662806233,0.802846772628231,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15,0.67
pitcher,STL,CLE,Dustin May,669160,,,,,4.9,15.0,2.48,4.63,5.19,2.05,5.159141808388942,5.211466650933556,1.964664842685243,2.307454925519699,4.518540195211475,5.074224469270632,0.5319030716823729,0.6398294437172756,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15,0.56
pitcher,CLE,STL,Slade Cecconi,677944,,,,,4.75,14.0,2.27,4.32,4.65,1.22,4.411494872034374,4.878903477754365,1.1954462808776494,1.296303709895755,4.124921709434774,5.079849562744104,0.8217200842138671,0.8168579406081169,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15,0.82
pitcher,MIN,BOS,Simeon Woods Richardson,680573,,,,,4.7,14.0,2.4,4.22,5.0,2.05,5.424273064741063,4.579329208471821,1.9838031442625728,2.2314913749329084,4.053834272344674,4.881430138702031,0.6533330537630446,0.726130186954871,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15,0.68
pitcher,BOS,MIN,Connelly Early,813349,,,,,4.42,13.0,2.44,4.46,5.75,1.53,5.558231919075737,5.939456375661991,1.469049158073041,1.7139442557030888,4.484436528008564,4.363234323723229,0.7265647611567717,0.8103221205359118,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15,0.75
pitcher,DET,KC,Jack Flaherty,656427,,,,,4.34,13.0,2.35,4.13,5.25,1.82,5.2918541306182645,5.203718037868038,1.7877278192415342,1.9339314691437408,4.0827684853325055,4.337122049091848,0.7571547643173687,0.9377229687618964,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15,0.81
pitcher,KC,DET,Seth Lugo,607625,,,,,4.5,13.0,2.64,4.79,4.49,1.84,4.528083583113954,4.44310712755512,1.8022077690211675,1.953084048264088,4.786697332336078,4.815583392013775,0.7794470322417696,0.7799956299521618,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15,0.78
pitcher,WSH,PIT,Jake Irvin,663623,,,,,4.84,15.0,2.67,5.05,4.3,1.81,4.644332865215536,3.952289322073186,1.7334307034271663,2.053326969559345,4.956184906809595,5.436997852582486,0.8010466146570158,0.8455051406227387,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15,0.81
pitcher,SF,CIN,Tyler Mahle,641816,,,,,4.74,14.0,2.44,4.67,4.33,1.66,4.370598823048717,4.28067873423577,1.6264921504131078,1.7796828173906585,4.592882106356366,5.00269996798998,0.5766799445413633,0.6618607517725558,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15,0.6
