player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,direct_K,rate_K,direct_BB,rate_BB,direct_H,rate_H,direct_HR,rate_HR,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,proj_tb,direct_TB,rate_TB,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date
pitcher,DET,WSH,Framber Valdez,664285,,,,,5.4,16.0,2.8,5.29,4.84,1.86,4.839,,1.857,,5.286,,0.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-23
pitcher,BAL,TOR,Chris Bassitt,605135,,,,,5.14,15.0,2.8,5.29,3.72,1.86,3.719,,1.857,,5.286,,0.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-23
pitcher,TOR,BAL,Max Scherzer,453286,,,,,4.61,14.0,2.79,5.02,4.39,2.12,4.392,,2.125,,5.023,,0.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-23
pitcher,BAL,TOR,Trey Gibson,694346,,,,,3.93,12.0,2.65,4.62,4.84,2.12,4.839,,2.125,,4.625,,0.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-23
pitcher,SF,MIN,Cesar Perdomo,702885,,,,,4.81,14.0,2.71,5.02,3.72,1.86,3.719,,1.857,,5.023,,0.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-23
pitcher,MIN,SF,Connor Prielipp,687570,,,,,5.14,15.0,2.49,4.55,6.08,1.68,6.083,,1.682,,4.545,,0.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-23
pitcher,STL,PIT,Matthew Liberatore,669461,,,,,4.81,14.0,2.6,5.02,5.12,1.76,5.125,,1.755,,5.023,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-23
pitcher,PHI,MIL,Aaron Nola,605400,,,,,5.51,17.0,2.68,5.02,5.75,1.76,5.75,,1.755,,5.023,,0.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-23
pitcher,MIL,PHI,Logan Henderson,701656,,,,,5.51,17.0,2.57,5.02,6.28,1.41,6.28,,1.413,,5.023,,0.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-23
pitcher,NYY,TB,Gerrit Cole,543037,,,,,5.51,17.0,2.46,5.02,5.12,1.41,5.125,,1.413,,5.023,,0.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-23
pitcher,BOS,CLE,Sonny Gray,543243,,,,,5.55,17.0,2.57,5.02,5.12,1.41,5.125,,1.413,,5.023,,0.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-23
pitcher,CLE,BOS,Foster Griffin,656492,,,,,4.81,14.0,2.68,5.02,4.84,1.76,4.839,,1.755,,5.023,,0.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-23
pitcher,ATL,CIN,Chris Sale,519242,,,,,5.67,17.0,2.67,5.29,6.28,1.41,6.28,,1.413,,5.286,,0.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-23
pitcher,CIN,ATL,Andrew Abbott,671096,,,,,4.77,14.0,2.67,5.02,3.72,2.12,3.719,,2.125,,5.023,,0.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-23
